"1","一","イチ, イツ","ひと(つ)","один, ひと(つ) тж. один год (о возрасте)  ","5","1","Г1"
"2","七","シチ","なな, なな(つ), なの","семь","5","1","Г1"
"3","万","マン, バン","よろず","десять тысяч","5","1","Г2"
"4","三","サン","み, み(つ), み(っつ)","три","5","1","Г1"
"5","上","ジョウ","うえ, あ(がる)","верх, подниматься","5","1","Г1"
"6","下","カ, ゲ","した ","низ, падать, опускаться","5","1","Г1"
"7","中","チュウ","なか, うち","середина, внутренняя часть, внутри","5","2","Г1"
"8","九","キュウ, ク","ここの(つ)","девять","5","4,  5","Г1
"9","二","ニ ,ジ","ふた, ふた(つ )","два","5","7","Г1"
"10","五","ゴ","いつ, いつ(つ)","пять","5","7","Г1"
"11","人","ジン, ニン","ひと","человек","5","9","Г1"
"12","今","コン, キン","いま","сейчас","5","9","Г2"
"13","休","キュウ","やす(む) ","отдыхать, пропускать (занятия)","5","9","Г1"
"14","会","カイ ","あ(う)","встречаться, встреча, собрание","5","9","Г2"
"15","住","ジュウ, ヂュウ, チュウ","す(む)","жить, проживать где-л","5","9","Г3"
"16","何","カ","なに, なん","что?","5","9","Г2"
"17","先","セン","さき - кончик, острие, верхушка, впереди, раньше, прежде,まず - прежде всего","острие, впереди, раньше, прежде всего","5","10","Г1"
"18","入","ニュウ","い(る) - входить, вступать, садиться (о солнце) い(れる) - вставлять, помещать, はい(る) - входить","входить, помещать","5","11","Г1"
"19","八","ハチ","や-, や(つ), や(っつ)","восемь","5","12","Г1"
"20","六","ロク","む-, む(つ), む(っつ) ","шесть","5","12","Г1"
"21","円","エン - иена","まる(い) - круглый まる - круг","круг,  иена","5","13","Г1"
"22","出","シュツ","で(る) - выходить, появляться, выступать в соревнованиях だ(す) - вынимать,вытаскивать, выдавать ","выходить, доставать","5","17","Г1"
"23","分","ブン - часть, フン - минута, ブ - часть","わける - делить, わけ - деление, распределение, ничья, わかれる - разделяться, расставаться, わかる - понимать, わかつ - делить на части, отличать","часть, минута, делить, разделять, понимать","5","18","Г2"
"24","前","ゼン","まえ","перед, впереди, передний","5","18","Г2"
"25","北","ホク","きた","север","5","21","Г2"
"26","十","ジュウ, ジッ, ジュッ","とお","десять","5","24","Г1"
"27","千","セン","ち","тысяча","5","24","Г1"
"28","午","ゴ","うま - Лошадь (знак зодиака), полдень","полдень, Лошадь","5","24","Г2"
"29","半","ハン","なかば","половина, наполовину, в середине","5","24","Г2"
"30","南","ナン  ","みなみ","юг","5","24","Г2"
"31","友","ユウ","とも","друг","5","29","Г2"
"32","口","コウ, ク","くち","рот","5","30","Г1"
